Kernel,Machine&Compiler,DataType,Baseline tag,openSource,time phase,Matrix-all,Matrix,Time
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,rgg_n_2_19_s0,0.01683480000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,rgg_n_2_19_s0,0.01844360000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,in-2004,0.09424960000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,in-2004,1.006858000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,asia_osm,0.1578502000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,asia_osm,0.4278680000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,mycielskian13,0.01023680000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,mycielskian13,0.01337660000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,road_central,0.3941038000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,road_central,0.5353780000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,wikipedia-20051105,0.2753792000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,wikipedia-20051105,0.7747460000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,cep1,0.01023560000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,cep1,0.004099000000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,wikipedia-20060925,0.4769554000
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,wikipedia-20060925,1.203606000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,mawi_201512012345,7.881962600
GeneralSparse,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,F,T,solve_only,1.084456846,mawi_201512012345,30.11280000
cuSPARSE,NVIDIA GeForce RTX 5090 / CUDA 12.9,float,T,T,solve_only,1,rbsa480,0.008194200000
